source,target
"Fetch all records from May 2024, ensure the IP address is ""192.168.1.1""",Month of year: May | Year: 2024 | IP address: 192.168.1.1
"Fetch all records from December 2022, ensure the IP address is ""::1""",Month of year: December | Year: 2022 | IP address: ::1
"Get every log of ""dashboard/"" accessed on 06 December.",Day of month: 06 | Month of year: December | Visited page: dashboard/
"Get every log of ""index.html"" accessed on 02 November.",Day of month: 02 | Month of year: November | Visited page: index.html
"What was accessed on 18 April from IP ""::1""?",Day of month: 18 | Month of year: April | IP address: ::1
"Find all records from January 2023 related to ""dashboard/"".",Month of year: January | Year: 2023 | Visited page: dashboard/
"Search all data for ""contact"" and IP ""10.0.0.1"".",IP address: 10.0.0.1 | Visited page: contact
"Retrieve details for IP ""10.0.0.1"" who accessed ""dashboard/"".",IP address: 10.0.0.1 | Visited page: dashboard/
"Find all records from March 2023 related to ""api/data"".",Month of year: March | Year: 2023 | Visited page: api/data
"What was accessed on 19 November from IP ""10.0.0.1""?",Day of month: 19 | Month of year: November | IP address: 10.0.0.1
"Get every log of ""index.html"" accessed on 25 February.",Day of month: 25 | Month of year: February | Visited page: index.html
"Collect all logs from ""contact"" with a specific IP: ""203.0.113.5"".",IP address: 203.0.113.5 | Visited page: contact
"Get every log of ""home"" accessed on 30 August.",Day of month: 30 | Month of year: August | Visited page: home
"Gather logs from 01 January with focus on ""login"".",Day of month: 01 | Month of year: January | Visited page: login
"Retrieve data for all users on 02 March, focusing on ""contact"".",Day of month: 02 | Month of year: March | Visited page: contact
"Gather everything from Jun, ensure the visited page is ""index.html""",Month of year: Jun | Visited page: index.html
"Search for records of the page ""api/data"" on 09 December, 2022.",Day of month: 09 | Month of year: December | Year: 2022 | Visited page: api/data
"Collect all logs from ""dashboard/"" with a specific IP: ""172.16.0.1"".",IP address: 172.16.0.1 | Visited page: dashboard/
"Look up activities on 20 August 2024 for the page ""contact"".",Day of month: 20 | Month of year: August | Year: 2024 | Visited page: contact
Find all entries for login visited on 08 June.,Day of month: 08 | Month of year: June | Visited page: login
Find records for contact on 13 September.,Day of month: 13 | Month of year: September | Visited page: contact
"Fetch all records from May 2023, ensure the IP address is ""192.168.1.1""",Month of year: May | Year: 2023 | IP address: 192.168.1.1
"Check the records for the IP ""10.0.0.1"" on 28 February.",Day of month: 28 | Month of year: February | IP address: 10.0.0.1
"List all activities for 02 Aug with IP ""172.16.0.1"".",Day of month: 02 | Month of year: Aug | IP address: 172.16.0.1
"What activities were recorded for IP ""192.168.1.1""?",IP address: 192.168.1.1
"Gather everything from Nov, ensure the visited page is ""dashboard/""",Month of year: Nov | Visited page: dashboard/
"Get me every data from the ""about"" page.",Visited page: about
"Look up all data for ""10.0.0.1"" on the page ""login"".",IP address: 10.0.0.1 | Visited page: login
"Give me details of users who visited ""index.html"" on 09 May, 2024.",Day of month: 09 | Month of year: May | Year: 2024 | Visited page: index.html
"Get every log of ""index.html"" accessed on 02 December.",Day of month: 02 | Month of year: December | Visited page: index.html
"List all logs related to ""index.html"" and IP ""10.0.0.1"".",IP address: 10.0.0.1 | Visited page: index.html
"Get all entries related to the ""api/data"" page.",Visited page: api/data
"Retrieve data for all users on 01 November, focusing on ""dashboard/"".",Day of month: 01 | Month of year: November | Visited page: dashboard/
"Find all records from August 2024 related to ""dashboard/"".",Month of year: August | Year: 2024 | Visited page: dashboard/
"Retrieve all user data from 15 May, with IP address: ""10.0.0.1""",Day of month: 15 | Month of year: May | IP address: 10.0.0.1
"Compile logs for ""api/data"" accessed on 11 October.",Day of month: 11 | Month of year: October | Visited page: api/data
"List all activities for 21 Apr with IP ""203.0.113.5"".",Day of month: 21 | Month of year: Apr | IP address: 203.0.113.5
"Find all records from December 2024 related to ""about"".",Month of year: December | Year: 2024 | Visited page: about
Find records for index.html on 20 July.,Day of month: 20 | Month of year: July | Visited page: index.html
"Get me every data from the ""index.html"" page.",Visited page: index.html
"What pages were visited by ""192.168.1.1"" on 06 August?",Day of month: 06 | Month of year: August | IP address: 192.168.1.1
"Compile logs for ""about"" accessed on 18 May.",Day of month: 18 | Month of year: May | Visited page: about
"Search for everything from January with the page ""api/data"".",Month of year: January | Visited page: api/data
"Show me all logs for IP ""::1"" and page ""index.html"".",IP address: ::1 | Visited page: index.html
"Retrieve details for IP ""172.16.0.1"" who accessed ""about"".",IP address: 172.16.0.1 | Visited page: about
"Gather logs from 05 October with focus on ""about"".",Day of month: 05 | Month of year: October | Visited page: about
Find records for login on 29 July.,Day of month: 29 | Month of year: July | Visited page: login
"Retrieve details for IP ""::1"" who accessed ""contact"".",IP address: ::1 | Visited page: contact
"Provide details of users who visited ""home"" on 21 April, 2022.",Day of month: 21 | Month of year: April | Year: 2022 | Visited page: home
"Search for records of the page ""about"" on 06 January, 2024.",Day of month: 06 | Month of year: January | Year: 2024 | Visited page: about
"Get all entries related to the ""dashboard/"" page.",Visited page: dashboard/
"Find all records from July 2022 related to ""index.html"".",Month of year: July | Year: 2022 | Visited page: index.html
"Get all entries related to the ""api/data"" page.",Visited page: api/data
"What activities were recorded for IP ""203.0.113.5""?",IP address: 203.0.113.5
"Gather everything from Jun, ensure the visited page is ""dashboard/""",Month of year: Jun | Visited page: dashboard/
"Gather logs from 08 June with focus on ""contact"".",Day of month: 08 | Month of year: June | Visited page: contact
"Extract data for IP address ""10.0.0.1"" on 05 June.",Day of month: 05 | Month of year: June | IP address: 10.0.0.1
"Get every log of ""contact"" accessed on 02 May.",Day of month: 02 | Month of year: May | Visited page: contact
"Gather everything from Aug, ensure the visited page is ""about""",Month of year: Aug | Visited page: about
